a,2,Salade,
b,1,Saus,
c,2,Extra's,
d,1,Wilt u er patat op?,
e,2,Wilt u er een drankje bij?,
f,1,Vlees,
g,1,Formaat,
h,1,Patat of rijst,
i,1,Wilt u er kaas op?,
j,1,Uitjes?,
k,1,Aantal,
