e,56,56,,,Fernandes red grape 33cl,,2.5,2.5,2.5,0,0,0,0,"delivery,takeaway",1,9
e,57,57,,,Fernandes cherry bouquet 33cl,,2.5,2.5,2.5,0,0,0,0,"delivery,takeaway",1,9
e,58,58,,,Fernandes green punch 33cl,,2.5,2.5,2.5,0,0,0,0,"delivery,takeaway",1,9
i,59,59,,,Met kaas,,1,1,1,0,0,0,0,"delivery,takeaway",1,9
g,60,60,,,Medium,,2,2,2,0,0,0,0,"delivery,takeaway",1,9
b,61,61,,,Mayonaise en ketchup,,0,0,0,0,0,0,0,"delivery,takeaway",1,9
b,62,62,,,Mayonaise en curry,,0,0,0,0,0,0,0,"delivery,takeaway",1,9
j,63,63,,,"Ja, met uitjes",,0.5,0.5,0.5,0,0,0,0,"delivery,takeaway",1,9
k,64,64,,,4 stuks,,0,0,0,0,0,0,0,"delivery,takeaway",1,9
k,65,65,,,8 stuks,,4,4,4,0,0,0,0,"delivery,takeaway",1,9
k,66,66,,,16 stuks,,11,11,11,0,0,0,0,"delivery,takeaway",1,9
